neuron_id,layer,pearson_correlation
90,12,0.445962397
91,1,-0.649684645
91,2,0.354367592
91,3,0.44227775
91,4,-0.341876875
91,5,-0.469342321
91,6,-0.506815453
91,7,-0.01761493
91,8,-0.067742669
91,9,-0.805166989
91,10,-0.325115385
91,11,0.449291957
91,12,0.072204235
92,1,0.109656272
92,2,-0.258599478
92,3,-0.350834077
92,4,0.104673029
92,5,0.573495834
92,6,0.055643863
92,7,0.724548355
92,8,0.221168584
92,9,0.155735796
92,10,0.382242054
92,11,-0.209062575
92,12,0.113193099
93,1,0.496405913
93,2,0.170402564
93,3,-0.109786083
93,4,-0.291809659
93,5,-0.335805765
93,6,0.023881983
93,7,-0.152443835
93,8,-0.224992863
93,9,-0.040080545
93,10,-0.493794066
93,11,-0.44551216
93,12,-0.704569994
94,1,-0.551899322
94,2,-0.639790042
94,3,-0.475905836
94,4,0.504197743
94,5,0.190588994
94,6,-0.095070735
94,7,-0.260830729
94,8,-0.110834676
94,9,-0.470508277
94,10,0.32056826
94,11,-0.46902389
94,12,-0.404019999
95,1,0.3263059
95,2,-0.233020347
95,3,0.275783548
95,4,-0.059828123
95,5,-0.229185915
95,6,0.137344397
95,7,-0.189730395
95,8,-0.325678702
95,9,-0.0710937
95,10,-0.069813718
95,11,0.19936798
95,12,0.331283695
96,1,0.087550127
96,2,0.139692136
96,3,-0.741875484
96,4,-0.280719002
96,5,0.052931438
96,6,0.513876561
96,7,-0.416891753
96,8,-0.211905027
96,9,0.447199335
96,10,0.284443271
96,11,-0.756379298
96,12,-0.099193767
97,1,0.096617236
97,2,-0.552987275
97,3,-0.246680788
97,4,-0.808158533
97,5,-0.116581519
97,6,0.010714367
97,7,0.378281095
97,8,0.309258383
97,9,0.399514159
97,10,0.46995906
97,11,0.193452491
97,12,0.50519466
98,1,-0.188060804
98,2,0.171101783
98,3,-0.144454846
98,4,-0.106039954
98,5,-0.43223521
98,6,-0.50521247
98,7,-0.418915208
98,8,0.090779713
98,9,-0.155394568
98,10,0.604404402
98,11,0.293740211
98,12,-0.246837321
99,1,0.521838061
99,2,0.115535871
99,3,0.068491437
99,4,0.059891453
99,5,0.526745152
99,6,0.535772281
99,7,0.713374065
99,8,0.616130776
99,9,0.682045016
99,10,0.630110078
99,11,0.076829033
99,12,0.003911243
100,1,0.307450044
100,2,-0.00755854
100,3,0.659698683
100,4,-0.280950557
100,5,-0.458068043
100,6,-0.522037845
100,7,-0.455593105
100,8,-0.400643672
100,9,-0.331760946
100,10,-0.264509742
100,11,0.4492192
100,12,-0.388293554
101,1,0.128496899
101,2,-0.120081296
101,3,0.192431365
101,4,0.427472901
101,5,-0.022958418
101,6,0.44970228
101,7,0.240815007
101,8,0.323888241
101,9,0.265420011
101,10,0.218809303
101,11,0.835780361
101,12,0.485803343
102,1,0.127806404
102,2,0.656695915
102,3,0.433625755
102,4,0.907544779
102,5,-0.053611489
102,6,0.035419567
